(2024-08-17 10:44:53,045) [INFO] ARA: init started ...
(2024-08-17 10:50:11,192) [INFO] toggled step 2 for instrument 0
(2024-08-17 10:50:11,202) [INFO] toggled step 1 for instrument 0
(2024-08-17 10:50:12,332) [INFO] toggled step 3 for instrument 0
(2024-08-17 10:50:44,037) [INFO] shift pressed: True
(2024-08-17 10:50:44,423) [INFO] try lock track ARA
(2024-08-17 10:50:44,423) [INFO] Target track: ARA
(2024-08-17 10:50:44,423) [INFO] creating clip
(2024-08-17 10:50:44,433) [INFO] devices=<Base.Vector object at 0x168781988>
(2024-08-17 10:50:44,434) [INFO] pad=<DrumPad.DrumPad object at 0x2add58c00>
(2024-08-17 10:50:44,434) [INFO] pad=<Base.Vector object at 0x168781988>
(2024-08-17 10:50:44,434) [INFO] pad=<DrumChain.DrumChain object at 0x2add58c00>
(2024-08-17 10:50:44,434) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877f570>
(2024-08-17 10:50:44,434) [INFO] pad=1.939 dB
(2024-08-17 10:50:44,434) [INFO] creating clip done
(2024-08-17 10:50:44,434) [INFO] reflecting device
(2024-08-17 10:50:44,444) [INFO] shift pressed: False
(2024-08-17 10:50:44,445) [INFO] shift pressed: True
(2024-08-17 10:50:44,752) [INFO] shift pressed: False
(2024-08-17 10:51:46,742) [INFO] shift pressed: True
(2024-08-17 10:51:47,254) [INFO] shift pressed: False
(2024-08-17 10:51:47,271) [INFO] shift pressed: True
(2024-08-17 10:51:47,562) [INFO] shift pressed: False
(2024-08-17 10:51:53,132) [INFO] shift pressed: True
(2024-08-17 10:51:53,821) [INFO] shift pressed: False
(2024-08-17 10:51:53,822) [INFO] shift pressed: True
(2024-08-17 10:51:55,420) [INFO] try lock track ARA
(2024-08-17 10:51:55,421) [INFO] Target track: ARA
(2024-08-17 10:51:55,421) [INFO] creating clip
(2024-08-17 10:51:55,433) [INFO] devices=<Base.Vector object at 0x168781988>
(2024-08-17 10:51:55,434) [INFO] pad=<DrumPad.DrumPad object at 0x2add718f0>
(2024-08-17 10:51:55,434) [INFO] pad=<Base.Vector object at 0x168781988>
(2024-08-17 10:51:55,434) [INFO] pad=<DrumChain.DrumChain object at 0x2add718f0>
(2024-08-17 10:51:55,434) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x2add71ab0>
(2024-08-17 10:51:55,434) [INFO] pad=1.939 dB
(2024-08-17 10:51:55,434) [INFO] creating clip done
(2024-08-17 10:51:55,434) [INFO] reflecting device
(2024-08-17 10:51:55,683) [INFO] shift pressed: False
(2024-08-17 10:51:55,692) [INFO] shift pressed: True
(2024-08-17 10:51:55,992) [INFO] shift pressed: False
(2024-08-17 10:52:33,350) [INFO] shift pressed: True
(2024-08-17 10:52:33,551) [INFO] try lock track ARA
(2024-08-17 10:52:33,553) [INFO] Target track: ARA
(2024-08-17 10:52:33,553) [INFO] creating clip
(2024-08-17 10:52:33,563) [INFO] devices=<Base.Vector object at 0x168781988>
(2024-08-17 10:52:33,563) [INFO] pad=<DrumPad.DrumPad object at 0x2add58420>
(2024-08-17 10:52:33,563) [INFO] pad=<Base.Vector object at 0x168781988>
(2024-08-17 10:52:33,563) [INFO] pad=<DrumChain.DrumChain object at 0x2add71960>
(2024-08-17 10:52:33,563) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x2add58420>
(2024-08-17 10:52:33,563) [INFO] pad=1.939 dB
(2024-08-17 10:52:33,564) [INFO] creating clip done
(2024-08-17 10:52:33,564) [INFO] reflecting device
(2024-08-17 10:52:33,651) [INFO] shift pressed: False
(2024-08-17 11:05:27,107) [INFO] Disconnecting...
(2024-08-17 11:05:30,756) [INFO] ARA: init started ...
(2024-08-17 11:05:58,451) [INFO] shift pressed: True
(2024-08-17 11:05:58,743) [INFO] try lock track ARA
(2024-08-17 11:05:58,743) [INFO] Target track: ARA
(2024-08-17 11:05:58,743) [INFO] creating clip
(2024-08-17 11:05:58,768) [INFO] devices=<Base.Vector object at 0x17fd1cd30>
(2024-08-17 11:05:58,768) [INFO] pad=<DrumPad.DrumPad object at 0x16877f880>
(2024-08-17 11:05:58,768) [INFO] pad=<Base.Vector object at 0x17fd1cd30>
(2024-08-17 11:05:58,768) [INFO] pad=<DrumChain.DrumChain object at 0x16877f880>
(2024-08-17 11:05:58,768) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877f650>
(2024-08-17 11:05:58,768) [INFO] pad=1.939 dB
(2024-08-17 11:05:58,768) [INFO] creating clip done
(2024-08-17 11:05:58,768) [INFO] reflecting device
(2024-08-17 11:05:58,783) [INFO] shift pressed: False
(2024-08-17 11:06:27,255) [INFO] Disconnecting...
(2024-08-17 11:06:37,498) [INFO] ARA: init started ...
(2024-08-17 11:07:32,820) [INFO] shift pressed: True
(2024-08-17 11:07:33,251) [INFO] shift pressed: False
(2024-08-17 11:07:36,827) [INFO] shift pressed: True
(2024-08-17 11:07:37,270) [INFO] shift pressed: False
(2024-08-17 11:07:37,294) [INFO] shift pressed: True
(2024-08-17 11:07:37,599) [INFO] shift pressed: False
(2024-08-17 11:07:43,015) [INFO] shift pressed: True
(2024-08-17 11:07:43,570) [INFO] shift pressed: False
(2024-08-17 11:07:43,581) [INFO] shift pressed: True
(2024-08-17 11:07:43,903) [INFO] shift pressed: False
(2024-08-17 11:07:45,961) [INFO] shift pressed: True
(2024-08-17 11:07:46,421) [INFO] shift pressed: False
(2024-08-17 11:07:46,422) [INFO] shift pressed: True
(2024-08-17 11:07:46,720) [INFO] shift pressed: False
(2024-08-17 11:07:48,061) [INFO] shift pressed: True
(2024-08-17 11:07:48,592) [INFO] shift pressed: False
(2024-08-17 11:07:52,722) [INFO] shift pressed: True
(2024-08-17 11:07:53,603) [INFO] shift pressed: False
(2024-08-17 11:07:54,373) [INFO] shift pressed: True
(2024-08-17 11:07:54,599) [INFO] try lock track ARA
(2024-08-17 11:07:54,600) [INFO] Target track: ARA
(2024-08-17 11:07:54,600) [INFO] creating clip
(2024-08-17 11:07:54,613) [INFO] devices=<Base.Vector object at 0x168781ed0>
(2024-08-17 11:07:54,613) [INFO] pad=<DrumPad.DrumPad object at 0x16877fea0>
(2024-08-17 11:07:54,613) [INFO] pad=<Base.Vector object at 0x168781ed0>
(2024-08-17 11:07:54,613) [INFO] pad=<DrumChain.DrumChain object at 0x16877fea0>
(2024-08-17 11:07:54,613) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877f570>
(2024-08-17 11:07:54,613) [INFO] pad=1.939 dB
(2024-08-17 11:07:54,613) [INFO] creating clip done
(2024-08-17 11:07:54,613) [INFO] reflecting device
(2024-08-17 11:07:54,680) [INFO] shift pressed: False
(2024-08-17 11:08:06,071) [INFO] shift pressed: True
(2024-08-17 11:08:06,250) [INFO] try lock track ARA
(2024-08-17 11:08:06,250) [INFO] Target track: ARA
(2024-08-17 11:08:06,250) [INFO] creating clip
(2024-08-17 11:08:06,277) [INFO] devices=<Base.Vector object at 0x168781ed0>
(2024-08-17 11:08:06,278) [INFO] pad=<DrumPad.DrumPad object at 0x16877f7a0>
(2024-08-17 11:08:06,278) [INFO] pad=<Base.Vector object at 0x168781ed0>
(2024-08-17 11:08:06,278) [INFO] pad=<DrumChain.DrumChain object at 0x16877f7a0>
(2024-08-17 11:08:06,278) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877f880>
(2024-08-17 11:08:06,278) [INFO] pad=1.939 dB
(2024-08-17 11:08:06,278) [INFO] creating clip done
(2024-08-17 11:08:06,278) [INFO] reflecting device
(2024-08-17 11:08:06,369) [INFO] shift pressed: False
(2024-08-17 11:08:22,820) [INFO] shift pressed: True
(2024-08-17 11:08:23,123) [INFO] shift pressed: False
(2024-08-17 11:13:30,883) [INFO] shift pressed: True
(2024-08-17 11:13:31,181) [INFO] shift pressed: False
(2024-08-17 11:13:31,957) [INFO] shift pressed: True
(2024-08-17 11:13:32,230) [INFO] try lock track ARA
(2024-08-17 11:13:32,230) [INFO] Target track: ARA
(2024-08-17 11:13:32,231) [INFO] creating clip
(2024-08-17 11:13:32,250) [INFO] devices=<Base.Vector object at 0x168781ed0>
(2024-08-17 11:13:32,251) [INFO] pad=<DrumPad.DrumPad object at 0x16877fdc0>
(2024-08-17 11:13:32,251) [INFO] pad=<Base.Vector object at 0x168781ed0>
(2024-08-17 11:13:32,251) [INFO] pad=<DrumChain.DrumChain object at 0x16877fdc0>
(2024-08-17 11:13:32,251) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877f5e0>
(2024-08-17 11:13:32,251) [INFO] pad=1.939 dB
(2024-08-17 11:13:32,251) [INFO] creating clip done
(2024-08-17 11:13:32,251) [INFO] reflecting device
(2024-08-17 11:13:32,267) [INFO] shift pressed: False
(2024-08-17 11:13:47,053) [INFO] Disconnecting...
(2024-08-17 11:13:52,586) [INFO] ARA: init started ...
(2024-08-17 11:14:27,621) [INFO] shift pressed: True
(2024-08-17 11:14:27,670) [INFO] try lock track ARA
(2024-08-17 11:14:27,670) [INFO] Target track: ARA
(2024-08-17 11:14:27,670) [INFO] creating clip
(2024-08-17 11:14:27,688) [INFO] devices=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:27,688) [INFO] pad=<DrumPad.DrumPad object at 0x16877fd50>
(2024-08-17 11:14:27,688) [INFO] pad=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:27,688) [INFO] pad=<DrumChain.DrumChain object at 0x16877fd50>
(2024-08-17 11:14:27,688) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877fce0>
(2024-08-17 11:14:27,688) [INFO] pad=1.939 dB
(2024-08-17 11:14:27,689) [INFO] creating clip done
(2024-08-17 11:14:27,689) [INFO] reflecting device
(2024-08-17 11:14:27,921) [INFO] shift pressed: False
(2024-08-17 11:14:33,443) [INFO] shift pressed: True
(2024-08-17 11:14:33,611) [INFO] try lock track ARA
(2024-08-17 11:14:33,612) [INFO] Target track: ARA
(2024-08-17 11:14:33,612) [INFO] creating clip
(2024-08-17 11:14:33,634) [INFO] devices=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:33,634) [INFO] pad=<DrumPad.DrumPad object at 0x16877fd50>
(2024-08-17 11:14:33,635) [INFO] pad=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:33,635) [INFO] pad=<DrumChain.DrumChain object at 0x16877fd50>
(2024-08-17 11:14:33,635) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x168a2c1f0>
(2024-08-17 11:14:33,635) [INFO] pad=1.939 dB
(2024-08-17 11:14:33,635) [INFO] creating clip done
(2024-08-17 11:14:33,635) [INFO] reflecting device
(2024-08-17 11:14:33,739) [INFO] shift pressed: False
(2024-08-17 11:14:37,394) [INFO] shift pressed: True
(2024-08-17 11:14:37,470) [INFO] try lock track ARA
(2024-08-17 11:14:37,471) [INFO] Target track: ARA
(2024-08-17 11:14:37,471) [INFO] creating clip
(2024-08-17 11:14:37,500) [INFO] devices=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:37,500) [INFO] pad=<DrumPad.DrumPad object at 0x16877fc00>
(2024-08-17 11:14:37,500) [INFO] pad=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:37,500) [INFO] pad=<DrumChain.DrumChain object at 0x16877fc00>
(2024-08-17 11:14:37,500) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x16877fc00>
(2024-08-17 11:14:37,500) [INFO] pad=1.939 dB
(2024-08-17 11:14:37,500) [INFO] creating clip done
(2024-08-17 11:14:37,500) [INFO] reflecting device
(2024-08-17 11:14:37,690) [INFO] shift pressed: False
(2024-08-17 11:14:56,882) [INFO] shift pressed: True
(2024-08-17 11:14:57,030) [INFO] try lock track ARA
(2024-08-17 11:14:57,031) [INFO] Target track: ARA
(2024-08-17 11:14:57,031) [INFO] creating clip
(2024-08-17 11:14:57,057) [INFO] devices=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:57,057) [INFO] pad=<DrumPad.DrumPad object at 0x168a2c030>
(2024-08-17 11:14:57,057) [INFO] pad=<Base.Vector object at 0x168a53308>
(2024-08-17 11:14:57,057) [INFO] pad=<DrumChain.DrumChain object at 0x168a2c030>
(2024-08-17 11:14:57,057) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x168a2c030>
(2024-08-17 11:14:57,057) [INFO] pad=1.939 dB
(2024-08-17 11:14:57,058) [INFO] creating clip done
(2024-08-17 11:14:57,058) [INFO] reflecting device
(2024-08-17 11:14:57,179) [INFO] shift pressed: False
(2024-08-17 11:16:54,371) [INFO] Disconnecting...
(2024-08-17 11:16:56,613) [INFO] ARA: init started ...
(2024-08-17 11:17:04,952) [INFO] shift pressed: True
(2024-08-17 11:17:05,111) [INFO] try lock track ARA
(2024-08-17 11:17:05,111) [INFO] Target track: ARA
(2024-08-17 11:17:05,111) [INFO] creating clip
(2024-08-17 11:17:05,137) [INFO] devices=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:05,138) [INFO] pad=<DrumPad.DrumPad object at 0x168a2c2d0>
(2024-08-17 11:17:05,138) [INFO] pad=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:05,138) [INFO] pad=<DrumChain.DrumChain object at 0x168a2c2d0>
(2024-08-17 11:17:05,138) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x168a2c110>
(2024-08-17 11:17:05,138) [INFO] pad=1.939 dB
(2024-08-17 11:17:05,138) [INFO] creating clip done
(2024-08-17 11:17:05,138) [INFO] reflecting device
(2024-08-17 11:17:05,259) [INFO] shift pressed: False
(2024-08-17 11:17:07,019) [INFO] shift pressed: True
(2024-08-17 11:17:07,158) [INFO] try lock track ARA
(2024-08-17 11:17:07,158) [INFO] Target track: ARA
(2024-08-17 11:17:07,158) [INFO] creating clip
(2024-08-17 11:17:07,171) [INFO] devices=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:07,172) [INFO] pad=<DrumPad.DrumPad object at 0x168a2c5e0>
(2024-08-17 11:17:07,172) [INFO] pad=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:07,172) [INFO] pad=<DrumChain.DrumChain object at 0x168a2c5e0>
(2024-08-17 11:17:07,172) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x168a2c650>
(2024-08-17 11:17:07,172) [INFO] pad=1.939 dB
(2024-08-17 11:17:07,172) [INFO] creating clip done
(2024-08-17 11:17:07,173) [INFO] reflecting device
(2024-08-17 11:17:07,320) [INFO] shift pressed: False
(2024-08-17 11:17:18,112) [INFO] shift pressed: True
(2024-08-17 11:17:18,230) [INFO] try lock track ARA
(2024-08-17 11:17:18,230) [INFO] Target track: ARA
(2024-08-17 11:17:18,230) [INFO] creating clip
(2024-08-17 11:17:18,239) [INFO] devices=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:18,240) [INFO] pad=<DrumPad.DrumPad object at 0x168a2c7a0>
(2024-08-17 11:17:18,240) [INFO] pad=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:18,240) [INFO] pad=<DrumChain.DrumChain object at 0x168a2c7a0>
(2024-08-17 11:17:18,240) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x168a2c260>
(2024-08-17 11:17:18,240) [INFO] pad=1.939 dB
(2024-08-17 11:17:18,240) [INFO] creating clip done
(2024-08-17 11:17:18,240) [INFO] reflecting device
(2024-08-17 11:17:18,411) [INFO] shift pressed: False
(2024-08-17 11:17:28,610) [INFO] shift pressed: True
(2024-08-17 11:17:28,789) [INFO] try lock track ARA
(2024-08-17 11:17:28,790) [INFO] Target track: ARA
(2024-08-17 11:17:28,790) [INFO] creating clip
(2024-08-17 11:17:28,805) [INFO] devices=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:28,806) [INFO] pad=<DrumPad.DrumPad object at 0x168a2c180>
(2024-08-17 11:17:28,806) [INFO] pad=<Base.Vector object at 0x168a536b0>
(2024-08-17 11:17:28,806) [INFO] pad=<DrumChain.DrumChain object at 0x168a2c180>
(2024-08-17 11:17:28,806) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x168a2c7a0>
(2024-08-17 11:17:28,806) [INFO] pad=1.939 dB
(2024-08-17 11:17:28,806) [INFO] creating clip done
(2024-08-17 11:17:28,806) [INFO] reflecting device
(2024-08-17 11:17:28,909) [INFO] shift pressed: False
(2024-08-17 11:20:17,190) [INFO] Disconnecting...
(2024-08-17 11:20:45,015) [INFO] ARA: init started ...
(2024-08-17 11:21:27,050) [INFO] selected track changed: ARA
(2024-08-17 11:21:31,200) [INFO] shift pressed: True
(2024-08-17 11:21:31,219) [INFO] try lock track ARA
(2024-08-17 11:21:31,219) [INFO] Target track: ARA
(2024-08-17 11:21:31,219) [INFO] creating clip
(2024-08-17 11:21:31,229) [INFO] devices=<Base.Vector object at 0x167abbac0>
(2024-08-17 11:21:31,229) [INFO] pad=<DrumPad.DrumPad object at 0x2a7c300a0>
(2024-08-17 11:21:31,229) [INFO] pad=<Base.Vector object at 0x167abbac0>
(2024-08-17 11:21:31,229) [INFO] pad=<DrumChain.DrumChain object at 0x2a7c300a0>
(2024-08-17 11:21:31,229) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x2a7c30110>
(2024-08-17 11:21:31,229) [INFO] pad=1.626 dB
(2024-08-17 11:21:31,230) [INFO] creating clip done
(2024-08-17 11:21:31,230) [INFO] reflecting device
(2024-08-17 11:21:31,245) [INFO] instrument press detected: 0
(2024-08-17 11:21:31,500) [INFO] shift pressed: False
(2024-08-17 11:21:45,350) [INFO] Disconnecting...
(2024-08-17 11:21:48,125) [INFO] ARA: init started ...
(2024-08-17 11:22:11,992) [INFO] shift pressed: True
(2024-08-17 11:22:12,119) [INFO] try lock track ARA
(2024-08-17 11:22:12,120) [INFO] Target track: ARA
(2024-08-17 11:22:12,120) [INFO] creating clip
(2024-08-17 11:22:12,130) [INFO] devices=<Base.Vector object at 0x167966b90>
(2024-08-17 11:22:12,130) [INFO] pad=<DrumPad.DrumPad object at 0x167ac8c00>
(2024-08-17 11:22:12,130) [INFO] pad=<Base.Vector object at 0x167966b90>
(2024-08-17 11:22:12,130) [INFO] pad=<DrumChain.DrumChain object at 0x167ac8c00>
(2024-08-17 11:22:12,130) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x167ac86c0>
(2024-08-17 11:22:12,130) [INFO] pad=1.939 dB
(2024-08-17 11:22:12,131) [INFO] creating clip done
(2024-08-17 11:22:12,131) [INFO] reflecting device
(2024-08-17 11:22:12,140) [INFO] instrument press detected: 0
(2024-08-17 11:22:12,289) [INFO] shift pressed: False
(2024-08-17 11:22:51,210) [INFO] shift pressed: True
(2024-08-17 11:22:51,428) [INFO] try lock track ARA
(2024-08-17 11:22:51,429) [INFO] Target track: ARA
(2024-08-17 11:22:51,429) [INFO] creating clip
(2024-08-17 11:22:51,452) [INFO] devices=<Base.Vector object at 0x10e79f308>
(2024-08-17 11:22:51,452) [INFO] pad=<DrumPad.DrumPad object at 0x16799fb90>
(2024-08-17 11:22:51,453) [INFO] pad=<Base.Vector object at 0x10e79f308>
(2024-08-17 11:22:51,453) [INFO] pad=<DrumChain.DrumChain object at 0x16799fb90>
(2024-08-17 11:22:51,453) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x2a7c307a0>
(2024-08-17 11:22:51,453) [INFO] pad=1.939 dB
(2024-08-17 11:22:51,453) [INFO] creating clip done
(2024-08-17 11:22:51,453) [INFO] reflecting device
(2024-08-17 11:22:51,461) [INFO] instrument press detected: 0
(2024-08-17 11:22:51,510) [INFO] shift pressed: False
(2024-08-17 11:25:22,041) [INFO] Disconnecting...
(2024-08-17 11:25:28,965) [INFO] ARA: init started ...
(2024-08-17 11:25:34,912) [INFO] shift pressed: True
(2024-08-17 11:25:34,941) [INFO] try lock track 1-MIDI
(2024-08-17 11:25:34,942) [INFO] Target track: 1-MIDI
(2024-08-17 11:25:34,942) [INFO] creating clip
(2024-08-17 11:25:34,957) [INFO] devices=<Base.Vector object at 0x167827c60>
(2024-08-17 11:25:35,212) [INFO] shift pressed: False
(2024-08-17 11:26:04,814) [INFO] selected track changed: ARA
(2024-08-17 11:26:05,845) [INFO] selected track changed: 1-MIDI
(2024-08-17 11:26:06,634) [INFO] selected track changed: 4-Audio
(2024-08-17 11:26:06,973) [INFO] selected track changed: ARA
(2024-08-17 11:26:10,262) [INFO] shift pressed: True
(2024-08-17 11:26:10,431) [INFO] try lock track ARA
(2024-08-17 11:26:10,431) [INFO] Target track: ARA
(2024-08-17 11:26:10,432) [INFO] creating clip
(2024-08-17 11:26:10,440) [INFO] devices=<Base.Vector object at 0x1302069f0>
(2024-08-17 11:26:10,440) [INFO] pad=<DrumPad.DrumPad object at 0x17e5dd0a0>
(2024-08-17 11:26:10,440) [INFO] pad=<Base.Vector object at 0x1302069f0>
(2024-08-17 11:26:10,440) [INFO] pad=<DrumChain.DrumChain object at 0x17e5dd0a0>
(2024-08-17 11:26:10,440) [INFO] pad=<ChainMixerDevice.ChainMixerDevice object at 0x17e5ddd50>
(2024-08-17 11:26:10,440) [INFO] pad=1.626 dB
(2024-08-17 11:26:10,440) [INFO] creating clip done
(2024-08-17 11:26:10,441) [INFO] reflecting device
(2024-08-17 11:26:10,457) [INFO] instrument press detected: 0; sequencer: <ARA.ara.sequencer.Sequencer object at 0x166f1a278>
(2024-08-17 11:26:10,562) [INFO] shift pressed: False
(2024-08-17 11:26:27,910) [INFO] shift pressed: True
